deployment,1048037,5240185000000000,20960740000000000,25681498491932129,1.9118290954,7.6473163816,9.36963790979651794436
changeOwner,43888,219440000000000,877760000000000,1075448296018096,0.0800604896,0.3202419584,0.39236655631924214464
start,55616,278080000000000,1112320000000000,1362835682449472,0.1014547072,0.4058188288,0.49721697038486536448
deposit,76998,384990000000000,1539960000000000,1886788368045966,0.1404597516,0.5618390064,0.68837586819789023544
bulkDepositTo (50),2823593,14117965000000000,56471860000000000,69190400120730581,5.1507983506,20.6031934024,25.24342558004734517204
multiMint (100),2298676,11493380000000000,45973520000000000,56327633687971492,4.1932447592,16.7729790368,20.55057387471951914128
$withdraw_{special}$,82816,414080000000000,1656320000000000,2029354859711872,0.1510729472,0.6042917888,0.74038982701727938048
$withdraw_{monthly}$,53240,266200000000000,1064800000000000,1304613271965080,0.097120408,0.388481632,0.4759751061437397872
undefined,1992106,9960530000000000,39842120000000000,48815325446304802,3.6339997652,14.5359990608,17.80978333582984396168
sendTransaction,21000,105000000000000,420000000000000,514592011857000,0.0383082,0.1532328,0.18774374960590788
